OnsetRest,DurationRest,Condition,Onset,Duration,Path,Cue,Color,Eye
0,12.03338,1,12.03338,16.62983,confed\block1.mp4,ON,green,on_eye_red.png
28.66321,7.874866,2,36.53808,17.52154,subj\block1.mp4,OFF,black,off_eye_black.png
54.05962,8.202558,3,62.26218,14.67349,subj\block2.mp4,ON,green,on_eye_red.png
76.93567,10.94927,2,87.88495,19.5041,subj\block3.mp4,OFF,black,off_eye_black.png
107.389,4.246045,3,111.6351,14.32883,subj\block4.mp4,ON,green,on_eye_red.png
125.9639,11.53775,1,137.5017,18.33086,confed\block2.mp4,ON,green,on_eye_red.png
155.8325,9.049707,3,164.8822,12.02481,subj\block5.mp4,ON,green,on_eye_red.png
176.907,7.058147,1,183.9652,15.16622,confed\block3.mp4,ON,green,on_eye_red.png
199.1314,8.942178,2,208.0736,17.60788,subj\block6.mp4,OFF,black,off_eye_black.png
225.6815,12.50803,1,238.1895,13.03076,confed\block4.mp4,ON,green,on_eye_red.png
251.2202,9.699578,3,260.9198,22.58366,subj\block7.mp4,ON,green,on_eye_red.png
283.5035,10.5235,2,294.027,17.67721,subj\block8.mp4,OFF,black,off_eye_black.png
311.7042,8.905908,2,320.6101,12.88083,subj\block9.mp4,OFF,black,off_eye_black.png
333.4909,7.889167,1,341.3801,11.51847,confed\block5.mp4,ON,green,on_eye_red.png
352.8986,5.418205,3,358.3168,19.79025,subj\block10.mp4,ON,green,on_eye_red.png
378.107,16.83587,3,394.9429,15.28175,subj\block11.mp4,ON,green,on_eye_red.png
410.2246,14.10573,2,424.3304,10.10162,subj\block12.mp4,OFF,black,off_eye_black.png
434.432,12.993,1,447.425,21.58808,confed\block6.mp4,ON,green,on_eye_red.png
